block,trial_number,auditory_stimulus,left_image,right_image,target_label,left_video,right_video,target_side,correct_response,playing_side,background,trial_type
7,29,acrossTheUniverse_55dB000,,,,Clouds6,Clouds6,,,both,black-background,PLP
7,30,silence,,,,,,,,,black-background,ITI
7,31,yellow_55dB000,,,,ball_atypical,ball_typical,left,0,left,black-background,PLP
7,32,yellow_55dB000,,,,ball_atypical,ball_typical,right,1,right,black-background,PLP
7,33,yellow_55dB000,,,,ball_atypical,ball_typical,left,0,both,black-background,PLP
7,34,silence,,,,,,,,,black-background,ITI
7,35,acrossTheUniverse_55dB004,,,,toothbrush_atypical,toothbrush_typical,left,0,left,black-background,PLP
7,36,acrossTheUniverse_55dB004,,,,toothbrush_atypical,toothbrush_typical,right,1,right,black-background,PLP
7,37,acrossTheUniverse_55dB004,,,,toothbrush_atypical,toothbrush_typical,left,0,both,black-background,PLP
7,38,silence,,,,,,,,,black-background,ITI
7,39,yellow_55dB009,,,,crayon_atypical,crayon_typical,right,1,right,black-background,PLP
7,40,yellow_55dB009,,,,crayon_atypical,crayon_typical,left,0,left,black-background,PLP
7,41,yellow_55dB009,,,,crayon_atypical,crayon_typical,left,0,both,black-background,PLP
7,42,silence,,,,,,,,,black-background,ITI
7,43,acrossTheUniverse_55dB008,,,,apple_atypical,apple_typical,left,0,left,black-background,PLP
7,44,acrossTheUniverse_55dB008,,,,apple_atypical,apple_typical,right,1,right,black-background,PLP
7,45,acrossTheUniverse_55dB008,,,,apple_atypical,apple_typical,left,0,both,black-background,PLP
7,46,silence,,,,,,,,,black-background,ITI
8,47,yellow_55dB013,,,,Bubbles6,Bubbles6,,,both,black-background,PLP
