block,trial_number,auditory_stimulus,left_image,right_image,target_label,left_video,right_video,target_side,correct_response,playing_side,background,trial_type
1,1,check_out,fireworks_left,fireworks_right,AG,,,right,1,,black-background,LWL
1,2,ball_find,ball03,apple01,ball,,,left,0,,black-background,LWL
1,3,crayon_where,ball01,crayon03,crayon,,,right,1,,black-background,LWL
1,4,apple_look,toothbrush01,apple03,apple,,,right,1,,black-background,LWL
1,5,toothbrush_look,toothbrush03,crayon01,toothbrush,,,left,0,,black-background,LWL
2,6,apple_find,crayon03,apple02,apple,,,right,1,,black-background,LWL
2,7,toothbrush_where,ball03,toothbrush02,toothbrush,,,right,1,,black-background,LWL
2,8,crayon_look,crayon02,apple03,crayon,,,left,0,,black-background,LWL
2,9,ball_where,ball02,toothbrush03,ball,,,left,0,,black-background,LWL
2,10,check_out,ocean_left,ocean_right,AG,,,left,0,,black-background,LWL
3,11,crayon_find,toothbrush02,crayon01,crayon,,,right,1,,black-background,LWL
3,12,apple_where,apple01,ball02,apple,,,left,0,,black-background,LWL
3,13,ball_look,crayon02,ball01,ball,,,right,1,,black-background,LWL
3,14,toothbrush_find,toothbrush01,apple02,toothbrush,,,left,0,,black-background,LWL
4,15,ball_where,apple01,ball03,ball,,,right,1,,black-background,LWL
4,16,crayon_look,crayon03,ball01,crayon,,,left,0,,black-background,LWL
4,17,apple_look,apple03,toothbrush01,apple,,,left,0,,black-background,LWL
4,18,toothbrush_find,crayon01,toothbrush03,toothbrush,,,right,1,,black-background,LWL
4,19,check_out,beach_left,beach_right,AG,,,right,1,,black-background,LWL
5,20,apple_find,apple02,crayon03,apple,,,left,0,,black-background,LWL
5,21,toothbrush_where,toothbrush02,ball03,toothbrush,,,left,0,,black-background,LWL
5,22,crayon_find,apple03,crayon02,crayon,,,right,1,,black-background,LWL
5,23,ball_look,toothbrush03,ball02,ball,,,right,1,,black-background,LWL
6,24,crayon_where,crayon01,toothbrush02,crayon,,,left,0,,black-background,LWL
6,25,apple_where,ball02,apple01,apple,,,right,1,,black-background,LWL
6,26,ball_find,ball01,crayon02,ball,,,left,0,,black-background,LWL
6,27,toothbrush_look,apple02,toothbrush01,toothbrush,,,right,1,,black-background,LWL
6,28,check_out,balloons_left,balloons_right,AG,,,left,0,,black-background,LWL
7,29,yellow_55dB013,,,,Kaleidoscope6,Kaleidoscope6,,,both,black-background,PLP
7,30,silence,,,,,,,,,black-background,ITI
7,31,acrossTheUniverse_55dB004,,,,ball_atypical,ball_typical,left,0,left,black-background,PLP
7,32,acrossTheUniverse_55dB004,,,,ball_atypical,ball_typical,right,0,right,black-background,PLP
7,33,acrossTheUniverse_55dB004,,,,ball_atypical,ball_typical,left,0,both,black-background,PLP
7,34,silence,,,,,,,,,black-background,ITI
7,35,yellow_55dB009,,,,toothbrush_atypical,toothbrush_typical,right,0,right,black-background,PLP
7,36,yellow_55dB009,,,,toothbrush_atypical,toothbrush_typical,left,0,left,black-background,PLP
7,37,yellow_55dB009,,,,toothbrush_atypical,toothbrush_typical,left,0,both,black-background,PLP
7,38,silence,,,,,,,,,black-background,ITI
7,39,acrossTheUniverse_55dB000,,,,crayon_atypical,crayon_typical,right,0,right,black-background,PLP
7,40,acrossTheUniverse_55dB000,,,,crayon_atypical,crayon_typical,left,0,left,black-background,PLP
7,41,acrossTheUniverse_55dB000,,,,crayon_atypical,crayon_typical,left,0,both,black-background,PLP
7,42,silence,,,,,,,,,black-background,ITI
7,43,yellow_55dB000,,,,apple_atypical,apple_typical,left,0,left,black-background,PLP
7,44,yellow_55dB000,,,,apple_atypical,apple_typical,right,0,right,black-background,PLP
7,45,yellow_55dB000,,,,apple_atypical,apple_typical,left,0,both,black-background,PLP
7,46,silence,,,,,,,,,black-background,ITI
8,47,acrossTheUniverse_55dB028,,,,Drops6,Drops6,,,both,black-background,PLP
8,48,silence,,,,,,,,,black-background,ITI
8,49,yellow_55dB026,,,,toothbrush_atypical,toothbrush_typical,right,0,right,black-background,PLP
8,50,yellow_55dB026,,,,toothbrush_atypical,toothbrush_typical,left,0,left,black-background,PLP
8,51,yellow_55dB026,,,,toothbrush_atypical,toothbrush_typical,left,0,both,black-background,PLP
8,52,silence,,,,,,,,,black-background,ITI
8,53,acrossTheUniverse_55dB016,,,,ball_atypical,ball_typical,left,0,left,black-background,PLP
8,54,acrossTheUniverse_55dB016,,,,ball_atypical,ball_typical,right,0,right,black-background,PLP
8,55,acrossTheUniverse_55dB016,,,,ball_atypical,ball_typical,left,0,both,black-background,PLP
8,56,silence,,,,,,,,,black-background,ITI
8,57,yellow_55dB017,,,,apple_atypical,apple_typical,left,0,left,black-background,PLP
8,58,yellow_55dB017,,,,apple_atypical,apple_typical,right,0,right,black-background,PLP
8,59,yellow_55dB017,,,,apple_atypical,apple_typical,left,0,both,black-background,PLP
8,60,silence,,,,,,,,,black-background,ITI
8,61,acrossTheUniverse_55dB011,,,,crayon_atypical,crayon_typical,right,0,right,black-background,PLP
8,62,acrossTheUniverse_55dB011,,,,crayon_atypical,crayon_typical,left,0,left,black-background,PLP
8,63,acrossTheUniverse_55dB011,,,,crayon_atypical,crayon_typical,left,0,both,black-background,PLP
8,64,silence,,,,,,,,,black-background,ITI
9,65,yellow_55dB013,,,,Bubbles6,Bubbles6,,,both,black-background,PLP
9,66,silence,,,,,,,,,black-background,ITI
9,67,acrossTheUniverse_55dB008,,,,apple_atypical,apple_typical,right,0,right,black-background,PLP
9,68,acrossTheUniverse_55dB008,,,,apple_atypical,apple_typical,left,0,left,black-background,PLP
9,69,acrossTheUniverse_55dB008,,,,apple_atypical,apple_typical,left,0,both,black-background,PLP
9,70,silence,,,,,,,,,black-background,ITI
9,71,yellow_55dB009,,,,crayon_atypical,crayon_typical,left,0,left,black-background,PLP
9,72,yellow_55dB009,,,,crayon_atypical,crayon_typical,right,0,right,black-background,PLP
9,73,yellow_55dB009,,,,crayon_atypical,crayon_typical,left,0,both,black-background,PLP
9,74,silence,,,,,,,,,black-background,ITI
9,75,acrossTheUniverse_55dB004,,,,toothbrush_atypical,toothbrush_typical,right,0,right,black-background,PLP
9,76,acrossTheUniverse_55dB004,,,,toothbrush_atypical,toothbrush_typical,left,0,left,black-background,PLP
9,77,acrossTheUniverse_55dB004,,,,toothbrush_atypical,toothbrush_typical,left,0,both,black-background,PLP
9,78,silence,,,,,,,,,black-background,ITI
9,79,yellow_55dB000,,,,ball_atypical,ball_typical,left,0,left,black-background,PLP
9,80,yellow_55dB000,,,,ball_atypical,ball_typical,right,0,right,black-background,PLP
9,81,yellow_55dB000,,,,ball_atypical,ball_typical,left,0,both,black-background,PLP
